"","sm_8","elev","wind","p1day","p2day","p3day","p4day","p5day","slope","aspect","long","lat","prediction","resid","cv_predictions","cv_resid"
"93",0.047,2392.68,-999999,5.07999999999998,7.62000000000002,7.62000000000002,7.62000000000002,20.32,12.5174276028978,87.4647162697386,-112.32639,39.3485,0.0768281981981982,-0.0298281981981982,0.0766226666666666,-0.0296226666666666
"94",0.319,2545.08,-999999,0,0,0,0,0,3.4352742698029,24.8557755188706,-112.65037,37.70463,0.170480876564269,0.148519123435731,0.162659293289799,0.156340706710201
"95",0.381,2311.908,-999999,15.24,20.3199999999999,20.3199999999999,20.3199999999999,66.04,10.5244960811505,21.1217135547405,-111.62917,40.76184,0.178792210144928,0.202207789855072,0.174524823809524,0.206475176190476
"96",0.079,2359.152,-999999,10.16,12.7,12.7,12.7,38.1,9.01236146729713,264.21959801095,-111.81372,40.93417,0.147003297682709,-0.0680032976827094,0.108233766666667,-0.0292337666666667
"97",0.268,2451.8112,-999999,0,0,0,0,22.86,0.765692948433411,150.564638781563,-111.63109,39.92976,0.163477152014652,0.104522847985348,0.165843199392297,0.102156800607703
"98",0.273,2749.296,-999999,0,0,0,2.53999999999995,20.32,14.9779788777463,153.997520745287,-111.58259,39.01219,0.161347387539361,0.111652612460639,0.174749516280877,0.098250483719123
"99",0.224,2662.1232,-999999,0,2.54000000000004,7.61999999999993,7.61999999999993,33.0199999999999,12.7904041288582,270.717571715753,-112.24915,38.88185,0.157053812056738,0.0669461879432624,0.160209041558441,0.0637909584415586
"100",0.27,2739.5424,-999999,0,0,0,2.53999999999986,20.3199999999999,3.31303100025535,133.502399070471,-111.27221,39.45197,0.205813204209024,0.0641867957909756,0.170223903174603,0.0997760968253969
"101",0.245,2600.5536,-999999,5.07999999999989,5.07999999999989,5.07999999999989,7.61999999999993,35.56,6.42193078047891,309.859155551909,-111.21765,40.67505,0.116169132149901,0.128830867850099,0.144547133333333,0.100452866666667
"102",0.144,2196.3888,-999999,0,0,0,0,25.4,13.4216278224614,54.4714766530526,-111.72508,39.49667,0.134876593552978,0.0091234064470222,0.131919287752085,0.0120807122479145
"103",0.059,2403.6528,-999999,5.07999999999998,5.07999999999998,5.07999999999998,5.07999999999998,12.7,3.64112377029553,127.100584641127,-110.69292,40.54875,0.147306578947368,-0.0883065789473684,0.134721066666667,-0.0757210666666666
"104",0.063,2652.9792,-999999,10.1600000000001,10.1600000000001,10.1600000000001,10.1600000000001,12.7,12.5612409808482,311.882154201085,-112.22377,40.44293,0.138507034632035,-0.0755070346320346,0.152432119047619,-0.0894321190476191
"105",0.15,2388.108,-999999,0,2.53999999999986,2.53999999999986,2.53999999999986,20.3199999999999,13.3536357927216,254.942445860941,-111.71802,39.92076,0.128704364676292,0.021295635323708,0.145743035819736,0.00425696418026419
"106",0.156,3018.7392,5.632704,0,0,0,0,20.32,1.61067734619338,105.39893863257,-111.43297,39.31042,0.212673642676768,-0.0566736426767677,0.201654491025641,-0.0456544910256409
"107",0.158,2325.9288,-999999,17.78,17.78,17.78,20.32,35.5600000000001,13.8042509452208,326.065155556263,-111.09192,40.78931,0.157847222222222,0.000152777777777779,0.157454633333333,0.000545366666666547
"108",0.261,2797.1496,-999999,15.2399999999999,15.2399999999999,15.2399999999999,22.86,53.3399999999999,9.33167609260143,316.482478274671,-111.65852,40.56914,0.138995906432749,0.122004093567252,0.139367566666667,0.121632433333333
"109",0.213,3119.628,-999999,0,2.54000000000004,5.07999999999998,5.07999999999998,7.62000000000002,5.78861559910835,93.2586016541101,-110.00527,40.83868,0.176612149059517,0.0363878509404825,0.166849077489178,0.0461509225108224
"110",0.355,3096.1584,-999999,17.7799999999999,17.7799999999999,17.7799999999999,20.3199999999999,33.0199999999999,7.87086566373534,15.6231822346781,-110.50462,40.90862,0.18665791433892,0.16834208566108,0.133437066666667,0.221562933333333
"111",0,2475.8904,-999999,0,0,0,0,17.7799999999999,8.27567182027158,61.9897328320579,-111.20665,40.16483,0.109616520906232,-0.109616520906232,0.128423368625196,-0.128423368625196
"112",0.091,3053.4864,-999999,0,0,0,0,0,8.36634496524058,16.8040226556162,-111.33981,38.048,0.173949112704589,-0.0829491127045894,0.167092727917475,-0.076092727917475
"113",0.229,2453.64,-999999,0,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,6.84951728079931,7.17333610453562,-112.92949,37.59711,0.153064386724387,0.0759356132756133,0.182518783443127,0.046481216556873
"114",0.047,2780.3856,-999999,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,5.48769764294204,14.2238618029459,-113.98262,39.74104,0.192197968758624,-0.145197968758625,0.202229357961973,-0.155229357961973
"115",0.161,2257.3488,-999999,10.16,20.3199999999999,20.3199999999999,20.3199999999999,25.4,8.4633305773902,310.574297648952,-111.54605,41.793,0.163086657559199,-0.00208665755919854,0.1759043,-0.0149042999999999
"116",0.051,2813.304,-999999,17.7799999999999,40.64,40.64,40.64,60.96,9.91815998212748,321.157443087621,-111.53322,40.6235,0.24462530224525,-0.19362530224525,0.23262509047619,-0.18162509047619
"117",0.278,2678.2776,-999999,0,0,0,0,30.48,3.94831023987815,320.686538604103,-111.51998,39.23803,0.249115153339919,0.0288848466600811,0.25206683052503,0.0259331694749697
"118",0.215,2662.7328,-999999,0,0,0,0,12.7,8.72282933975439,285.861560435789,-110.43395,39.67712,0.13078161470737,0.0842183852926303,0.121195232267815,0.0938047677321849
"119",0.095,2481.072,-999999,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,27.94,3.68213395374877,23.4342455394446,-111.61633,40.42817,0.20646102292769,-0.11146102292769,0.209586523809524,-0.114586523809524
"120",0.314,2582.8752,-999999,30.4800000000001,50.8,50.8,50.8,58.4199999999999,5.94024060231754,128.516971252164,-111.62957,41.89833,0.184435572139303,0.129564427860697,0.1865942,0.1274058
"121",0.088,1929.9936,-999999,17.7799999999999,22.86,22.86,22.86,27.94,5.33563546081969,93.0772758141577,-111.56918,41.88573,0.152938485663082,-0.0649384856630824,0.177816666666667,-0.0898166666666665
"122",0.107,3045.5616,-999999,17.7800000000001,17.7800000000001,17.7800000000001,25.4,45.7200000000001,10.0924247860166,257.805653440028,-110.94873,40.678,0.227697783687943,-0.120697783687943,0.2160764,-0.1090764
"123",0.183,2901.0864,-999999,0,0,0,2.54000000000004,12.7,3.4105071646748,46.0833574535889,-109.6728,40.739,0.211214325842697,-0.0282143258426966,0.208730600399601,-0.0257306003996005
"124",0.149,2620.0608,-999999,0,0,0,2.53999999999995,15.2399999999999,7.41817443693939,75.0194832584792,-111.2491,39.4155,0.106606593513324,0.0423934064866757,0.140608589116731,0.00839141088326878
"125",0.107,2520.696,-999999,17.7800000000001,25.4,25.4,27.9400000000002,30.4800000000001,1.4269351372654,53.1083730892576,-111.50603,41.86425,0.20549180952381,-0.0984918095238095,0.198408366666666,-0.0914083666666661
"126",0.051,2255.8248,-999999,0,0,0,0,7.61999999999993,8.49187550653951,39.5085681484113,-112.41478,39.93667,0.1254421391741,-0.0744421391741001,0.134803376578353,-0.0838033765783535
"127",0.174,2805.0744,-999999,0,0,0,0,0,2.62420140732671,183.59200032384,-112.90155,37.575,0.183503056419153,-0.00950305641915322,0.182717684512541,-0.00871768451254062
"128",0.063,2633.7768,-999999,0,0,2.53999999999995,2.53999999999995,20.32,1.90304967637506,115.514166632186,-110.98845,39.9645,0.216624603174603,-0.153624603174603,0.2091074997114,-0.1461074997114
"129",0.121,2938.272,-999999,0,0,0,2.53999999999995,5.07999999999998,7.24560029846776,319.011595063429,-111.88163,37.83633,0.151750088378753,-0.0307500883787533,0.160285420704132,-0.0392854207041323
"130",0.296,2842.8696,-999999,0,0,0,0,20.3199999999999,6.66762990561588,23.6037335768503,-111.35685,39.13233,0.175242242256334,0.120757757743666,0.18159905,0.11440095
"131",0.233,2649.3216,-999999,0,0,0,0,0,3.63211096299916,345.37370028627,-112.77495,37.74797,0.196611817770336,0.0363881822296641,0.186611034399457,0.0463889656005433
"132",0.143,1964.436,2.2352,0,0,0,0,0,1.32439479017255,186.303141813951,-109.36429,37.67455,0.156926066766273,-0.0139260667662727,0.175001012167898,-0.0320010121678977
"133",0.196,1578.5592,1.1176,2.286,9.65199999999997,9.65199999999997,9.65199999999997,11.176,2.84425177318703,253.087867211679,-112.4336,41.93531,0.138796794871795,0.0572032051282051,0.134573004761905,0.0614269952380952
"134",0.076,2036.6736,1.922272,6.60399999999999,7.36599999999998,7.36599999999998,7.61999999999997,18.542,1.87065367932235,77.7441369999713,-111.18798,41.34363,0.131622355769231,-0.0556223557692308,0.1382274,-0.0622274
"135",0.279,1348.74,0.938784,11.6839999999999,16.002,16.002,16.002,18.5419999999999,0.685687033693964,69.6956667005619,-111.98043,41.81568,0.154296863799283,0.124703136200717,0.149143533333333,0.129856466666667
